ingredients,cooking_skill,best_for(meal),time_to_cook,dish_name,dish_description,dish_recipe
"куряча грудка (200г), панірувальні сухарі (100г), пармезан (50г), томатний соус (50г), моцарела (50г), оливкова олія",просунутий,вечеря,3500,Курка з пармезаном,Курка з пармезаном та томатним соусом.,"Обсмажити курку в паніровці, запекти з соусом і сиром."
"листя салату (100г), грінки (50г), пармезан (50г), соус ""Цезар""",початківець,вечеря,1100,Салат Цезар,Салат Цезар з крутонами і сиром.,"Змішати інгредієнти, заправити соусом."
"свинина (200г), сухарі (100г), борошно (50г), яйця (2), сіль, перець",любитель,вечеря,2700,Шніцель зі свинини,Паніроване свиняче відбивне.,"Обваляти свинину в борошні, яйцях та паніровці, обсмажити."
"рис (200г), гриби (100г), пармезан (50г), овочевий бульйон (500мл), цибуля (1), часник, оливкова олія",просунутий,вечеря,1800,Грибне різотто,Різотто з грибами.,"Обсмажити гриби, додати рис, поступово вливаючи бульйон, в кінці додати сир."
"яловичий фарш (200г), булочка (1), сир чеддер (50г), салат (50г), помідор (50г), кетчуп, гірчиця",початківець,обід,750,Чизбургер,Класичний чизбургер.,"Сформувати котлету з м'яса, обсмажити, скласти з іншими інгредієнтами в булочку."
"картопля (200г), морква (100г), цвітна капуста (100г), порошок каррі (10г), кокосове молоко (200мл), часник",любитель,вечеря,2400,Овочеве карі,Овочеве карі в кокосовому молоці.,Варити овочі з карі та кокосовим молоком до готовності.
"куряча грудка (200г), коржики (2), соус ""Цезар"" (50г)", салат (50г)," пармезан (50г)""",1500,Цезар з курки,Лаваш з куркою і салатом Цезар.,"Обсмажити курку, загорнути в лаваш з іншими інгредієнтами."
"яйця (4), помідори (100г), цибуля (1), перець болгарський (1), часник, олія оливкова, кмин (5г)",шеф,обід,3000,Шакшука,Єгипетська страва з яйцями в томатному соусі.,"Обсмажити овочі з часником, додати томати, вбити яйця і готувати до готовності."
"тісто для піци (1), моцарела (100г), гриби (50г), перець болгарський (50г), соус томатний (50г), олія оливкова",початківець,вечеря,3100,Вегетаріанська піца,Піца з овочами.,"Розкатати тісто, покрити соусом та іншими інгредієнтами, запекти."
"лосось (200г), лимон (1), оливкова олія, часник, сіль, перець",любитель,вечеря,2600,Смажений лосось,Стейк з лосося з лимоном.,Обсмажити лосося з часником і лимоном.
"яблука (200г), борошно (100г), цукор (50г), масло (50г), кориця (5г)",любитель,сніданок,4000,Яблуневий пиріг,Традиційний яблучний пиріг.,"Приготувати тісто, заповнити яблуками і запікати."
"яловичий фарш (200г), квасоля (100г), цибуля (1), перець болгарський (1), порошок чилі (10г), часник, томатний соус (50г)",просунутий,вечеря,4200,Чилі нон Карне,Мексиканська страва з м'ясом і квасолею.,"Обсмажити м'ясо, додати овочі та соус, варити до готовності."
"яйця (4), шпинат (100г), сир (50г), цибуля (1), оливкова олія",шеф,вечеря,3500,Фрітата,Італійська омлет з овочами.,"Збити яйця, змішати з овочами і сиром, запекти в духовці."
"тунець (200г), салат (50г), огірок (1), майонез (50г), сіль, перець",початківець,обід,1000,Салат з тунцем,Салат з тунцем.,Змішати всі інгредієнти і заправити майонезом.
"картопля (4), оливкова олія, сіль, перець",початківець,вечеря,3900,Печена картопля,Запечена картопля з олією та спеціями.,Запікати картоплю в духовці до золотистої скоринки.
"яловичий фарш (200г), коржики (4), салат (50г), сир (50г), сальса (50г)",любитель,обід,800,Тако з яловичини,Тако з м'ясом і салатом.,"Обсмажити м'ясо, заповнити коржі рештою інгредієнтами."
"яловичий фарш (200г), баклажани (100г), картопля (100г), соус бешамель (100мл), сир (50г)",любитель,вечеря,5600,Мусака,Грецька страва з баклажанами та м'ясом.,Шарувати інгредієнти і запікати з соусом.
